cod_ibge_7,municipio_ibge,uf,id_cidade_idsc,pontuacao_geral_idsc,classificacao_geral_idsc,nivel_desenvolvimento_idsc,status_vinculo_ibge,sistema_origem,endpoint_origem,fonte,url_fonte,data_extracao_utc,hash_registro_origem,status_cobertura_idsc
3100104,Abadia dos Dourados,MG,3100104,50.47,2619,,CODIGO_IBGE,IDSC-BR,buscarAllPerfilCidadeDetalhes,Instituto Cidades Sustentáveis / IDSC-BR,https://www.cidadessustentaveis.org.br/api/idsc-br/buscarAllPerfilCidadeDetalhes,2026-09-01T10:54:12Z,f1ad9d9fd62cd4ad764431bd4eb092393124e06c549419d9442f3d2b594e0d18,OK
3100203,Abaeté,MG,3100203,50.42,2642,,CODIGO_IBGE,IDSC-BR,buscarAllPerfilCidadeDetalhes,Instituto Cidades Sustentáveis / IDSC-BR,https://www.cidadessustentaveis.org.br/api/idsc-br/buscarAllPerfilCidadeDetalhes,2026-09-01T10:54:12Z,c042f34f3cd42747057479c562f5dd60ece08d233dfb481be0774ebb1e49d5d9,OK
3100302,Abre Campo,MG,3100302,51.15,2343,,CODIGO_IBGE,IDSC-BR,buscarAllPerfilCidadeDetalhes,Instituto Cidades Sustentáveis / IDSC-BR,https://www.cidadessustentaveis.org.br/api/idsc-br/buscarAllPerfilCidadeDetalhes,2026-09-01T10:54:12Z,8e7639e1e4bbc0b448f8ee02f697a5c92f26d5d267c4a5d2a08d1843fb518a7e,OK
3100401,Acaiaca,MG,3100401,48.62,3353,,CODIGO_IBGE,IDSC-BR,buscarAllPerfilCidadeDetalhes,Instituto Cidades Sustentáveis / IDSC-BR,https://www.cidadessustentaveis.org.br/api/idsc-br/buscarAllPerfilCidadeDetalhes,2026-09-01T10:54:12Z,4185973a7807a9ea0a1140ca8ea5ec540e88bcb35e3ea15fc82779742d699156,OK
3100500,Açucena,MG,3100500,48.65,3338,,CODIGO_IBGE,IDSC-BR,buscarAllPerfilCidadeDetalhes,Instituto Cidades Sustentáveis / IDSC-BR,https://www.cidadessustentaveis.org.br/api/idsc-br/buscarAllPerfilCidadeDetalhes,2026-09-01T10:54:12Z,cd5a0b9ab1c06e57312d80d356c0e0d3875736bc7f45ac1cc82fad36112db520,OK
3100609,Água Boa,MG,3100609,44.22,4784,,CODIGO_IBGE,IDSC-BR,buscarAllPerfilCidadeDetalhes,Instituto Cidades Sustentáveis / IDSC-BR,https://www.cidadessustentaveis.org.br/api/idsc-br/buscarAllPerfilCidadeDetalhes,2026-09-01T10:54:12Z,a90623170ae89eba6398dca664db609ecb8ba8d5e4056c0841a9e6c2f42b1946,OK
3100708,Água Comprida,MG,3100708,57.91,424,,CODIGO_IBGE,IDSC-BR,buscarAllPerfilCidadeDetalhes,Instituto Cidades Sustentáveis / IDSC-BR,https://www.cidadessustentaveis.org.br/api/idsc-br/buscarAllPerfilCidadeDetalhes,2026-09-01T10:54:12Z,b932ce99365dd41691d72f3153fb219e519d4ad7246fc726b899f6d8670f37c2,OK
3100807,Aguanil,MG,3100807,52.34,1870,,CODIGO_IBGE,IDSC-BR,buscarAllPerfilCidadeDetalhes,Instituto Cidades Sustentáveis / IDSC-BR,https://www.cidadessustentaveis.org.br/api/idsc-br/buscarAllPerfilCidadeDetalhes,2026-09-01T10:54:12Z,d02fd8261d5b13b10ea89f062be69acc30bfd00781f9b044b3b1ac010722f587,OK
3100906,Águas Formosas,MG,3100906,46.89,3998,,CODIGO_IBGE,IDSC-BR,buscarAllPerfilCidadeDetalhes,Instituto Cidades Sustentáveis / IDSC-BR,https://www.cidadessustentaveis.org.br/api/idsc-br/buscarAllPerfilCidadeDetalhes,2026-09-01T10:54:12Z,d6f1767cdb397866b0670561b78ca53ebc08c068eac40b7eb5d033df5f7c5d71,OK
3101003,Águas Vermelhas,MG,3101003,53.85,1343,,CODIGO_IBGE,IDSC-BR,buscarAllPerfilCidadeDetalhes,Instituto Cidades Sustentáveis / IDSC-BR,https://www.cidadessustentaveis.org.br/api/idsc-br/buscarAllPerfilCidadeDetalhes,2026-09-01T10:54:12Z,3b23fc9ba2b44211d6f854e3b3e949e7dba13f102407114bb897ab13719091b0,OK
