data_extracao_utc,endpoint_origem,json_path_lista,src__indicador,src__ods,src__slug,src__label,src__unidade,src__descricao,src__metodo,src__objetivolongoprazo,src__justificativaobjetivolongoprazo,src__limiarverde,src__limiarvermelho,src__limiarinferior,src__referencia,src__type
2026-09-01T10:54:12Z,buscarInfoIndicadorIdsc,root,SDG1_1_P_F_CU,1,familias-inscritas-no-cadastro-unico-para-programas-sociais,Famílias inscritas no Cadastro Único para programas sociais,%,Percentual de famílias residentes cadastradas no Cadastro Único com renda familiar per capita de até meio salário mínimo sobre o total de famílias cadastradas. Atualizado anualmente em dezembro.,Número de famílias residentes cadastradas no Cadastro Único com renda familiar per capita de até meio salário mínimo ÷ Número total de famílias residentes cadastradas no Cadástro Único (x100),96.0,,87.0,64.0,48.0,"MDS/Ministério do Desenvolvimento e Assistência Social, Família e Combate a Fome/VIS Data 3 beta",indicator
2026-09-01T10:54:12Z,buscarInfoIndicadorIdsc,root,SDG1_3_COBBF,1,percentual-de-pessoas-inscritas-no-cadastro-unico-que-recebem-bolsa-familia,Percentual de pessoas inscritas no Cadastro Único que recebem Bolsa Família,%,Participação das pessoas que recebem o bolsa família sobre o total de pessoas cadastradas no Cadastro Único. A data de referência para extração do dado é sempre dezembro do ano anterior na Base do CadÚnico.,Número de pessoas que recem o bolsa família ÷ Número de pessoas inscritas no CadÚnico (x100),96.6,,80.5,42.82,22.96,"MDS/Ministério do Desenvolvimento e Assistência Social, Família e Combate a Fome/VIS Data 3 beta",indicator
2026-09-01T10:54:12Z,buscarInfoIndicadorIdsc,root,SDG1_4_PBF,1,percentual-de-pessoas-abaixo-da-linha-da-pobreza-no-cadastro-unico-pos-bolsa-familia,Percentual de pessoas abaixo da linha da pobreza no Cadastro Único pós Bolsa Família,%,Percentual da população abaixo da linha de pobreza após o Bolsa Família.,Quantidade total de pessoas pobres beneficiárias do Programa Bolsa Família (PBF) que permanecem com renda per capita abaixo da linha de pobreza após recebimento dos benefícios do PBF ÷ Quantidade total de pessoas inscritas no Cadastro Único (x100),0.0,,1.0,5.0,10.0,"MDS/Ministério do Desenvolvimento e Assistência Social, Família e Combate a Fome/VIS Data 3 beta",indicator
2026-09-01T10:54:12Z,buscarInfoIndicadorIdsc,root,SDG1_4_R_1_4_SM,1,pessoas-com-renda-de-ate-1-4-do-salario-minimo,Pessoas com renda de até 1/4 do salário mínimo,%,"Percentual da população residente com 10 anos ou mais, com renda de até 1/4 do salário mínimo.",Número total de indivíduos residentes com renda até 1/4 de salário mínimo ÷ População residente com 10 anos ou mais (x100),0.18,,4.45,5.74,15.45,Atlas Brasil,indicator
2026-09-01T10:54:12Z,buscarInfoIndicadorIdsc,root,SDG2_1_OBS_INF,2,obesidade-infantil,Obesidade infantil,%,Percentual de crianças entre 0 e 5 anos classificadas com obesidade (relação peso x altura) sobre o total de crianças nesta faixa etária.,"Indivíduos classificados com obesidade na faixa etária de 0 a 5 anos, conforme SISVAN ÷ Número de crianças na faixa etária de 0 a 5 anos (x100)",0.0,,5.0,10.0,20.0,DataSUS/Relatórios públicos consolidados do SISVAN,indicator
2026-09-01T10:54:12Z,buscarInfoIndicadorIdsc,root,SDG2_2_P_NV_BPN,2,baixo-peso-ao-nascer,Baixo peso ao nascer,%,Percentual de crianças nascidas vivas com menos de 2.499 g sobre o total de nascidos vivos no município.,Número de crianças com baixo peso ao nascer (<=2.499g) ÷ Número total de nascidos vivos no município (x100),0.0,,6.0,11.0,13.0,DataSUS/SINASC,indicator
2026-09-01T10:54:12Z,buscarInfoIndicadorIdsc,root,SDG2_3_DSNT_INF,2,desnutricao-infantil,Desnutrição infantil,%,"Percentual de crianças menores de 5 anos desnutridas sobre o total de crianças nesta faixa etária. Índice de Massa Corporal (Peso X Idade) < que o percentil 0,1.",Número total de crianças menores de 5 anos desnutridas ÷ População de menores que 5 anos (× 100),0.0,,1.0,3.0,5.0,SISVAN,indicator
2026-09-01T10:54:12Z,buscarInfoIndicadorIdsc,root,SDG2_8_AGR_FAM,2,produtores-de-agricultura-familiar-com-apoio-do-pronaf,Produtores de agricultura familiar com apoio do PRONAF,%,"Percentual da unidades agrícolas com financiamento PRONAF. As informações registradas nos Censos Agropecuários são declaratórias, prestadas pelo entrevistado no momento da visita.",Percentual da unidades agrícolas com financiamento PRONAF-B,100.0,,75.0,55.0,6.0,IBGE/Censo Agropecuário 2017,indicator
2026-09-01T10:54:12Z,buscarInfoIndicadorIdsc,root,SDG2_9_AGR_ORG,2,estabelecimentos-que-praticam-agricultura-organica,Estabelecimentos que praticam agricultura orgânica,%,"Percentual de estabelecimentos agrícolas que praticam agricultura orgânica. As informações registradas nos Censos Agropecuários são declaratórias, prestadas pelo entrevistado no momento da visita.",Percentual de estabelecimentos agrícolas que praticam agricultura orgânica,20.0,,7.0,2.0,0.0,IBGE/Censo Agropecuário 2017,indicator
2026-09-01T10:54:12Z,buscarInfoIndicadorIdsc,root,SDG3_1_C_VCN,3,cobertura-vacinal,Cobertura vacinal,%,"Percentual da população alvo imunizada, conforme metodologia da Coordenação Geral do Programa Nacional de Imunizações - CGPNI.","Percentual da população imunizada, conforme metodologia da Coordenação Geral do Programa Nacional de Imunizações - CGPNI. Ver: http://pni.datasus.gov.br/

 

 Extração: 06/05/2023. Referência: Ano de 2022",100.0,,95.0,60.0,40.0,DataSUS/CGPNI - Coordenação Geral do Programa Nacional de Imunizações,indicator
