data_extracao_utc,endpoint_origem,json_path_lista,src__id,src__number,src__label
2026-08-26T22:38:28Z,buscarLabelsOds,root,1,1,Erradicação da Pobreza
2026-08-26T22:38:28Z,buscarLabelsOds,root,2,2,Fome Zero e Agricultura Sustentável
2026-08-26T22:38:28Z,buscarLabelsOds,root,3,3,Saúde e Bem-Estar
2026-08-26T22:38:28Z,buscarLabelsOds,root,4,4,Educação de Qualidade
2026-08-26T22:38:28Z,buscarLabelsOds,root,5,5,Igualdade de Gênero
2026-08-26T22:38:28Z,buscarLabelsOds,root,6,6,Água Potável e Saneamento
2026-08-26T22:38:28Z,buscarLabelsOds,root,7,7,Energia Acessível e Limpa
2026-08-26T22:38:28Z,buscarLabelsOds,root,8,8,Trabalho Decente e Crescimento Econômico
2026-08-26T22:38:28Z,buscarLabelsOds,root,9,9,"Indústria, Inovação e Infraestrutura"
2026-08-26T22:38:28Z,buscarLabelsOds,root,10,10,Redução da Desigualdades
2026-08-26T22:38:28Z,buscarLabelsOds,root,11,11,Cidades e Comunidades Sustentáveis
2026-08-26T22:38:28Z,buscarLabelsOds,root,12,12,Consumo e Produção Responsáveis
2026-08-26T22:38:28Z,buscarLabelsOds,root,13,13,Ação Contra a Mudança Global do Clima
2026-08-26T22:38:28Z,buscarLabelsOds,root,14,14,Vida na Água
2026-08-26T22:38:28Z,buscarLabelsOds,root,15,15,Vida Terrestre
2026-08-26T22:38:28Z,buscarLabelsOds,root,16,16,"Paz, Justiça e Instituições Eficazes"
2026-08-26T22:38:28Z,buscarLabelsOds,root,17,17,Parcerias e Meios de Implementação
