data_extracao_utc,endpoint_origem,json_path_lista,src__id,src__name,src__state,src__population,src__currentyear,src__lastyear,src__odslist,src__signataria
2026-08-26T22:38:28Z,buscarPanoramaOdsCidades,root,3555901,Uru (SP),São Paulo,1387,2025,2015,"[{""goal"":1,""variationValue"":2.47,""variationScale"":""EQUAL"",""currentScore"":59.47,""lastScore"":58.0},{""goal"":2,""variationValue"":21.69,""variationScale"":""UP"",""currentScore"":49.66,""lastScore"":38.89},{""goal"":3,""variationValue"":-7.01,""variationScale"":""DOWN"",""currentScore"":78.51,""lastScore"":84.01},{""goal"":4,""variationValue"":24.37,""variationScale"":""UP"",""currentScore"":83.25,""lastScore"":62.96},{""goal"":5,""variationValue"":32.2,""variationScale"":""UP"",""currentScore"":37.76,""lastScore"":25.6},{""goal"":6,""variationValue"":-2.18,""variationScale"":""EQUAL"",""currentScore"":92.03,""lastScore"":94.04},{""goal"":7,""variationValue"":-16.13,""variationScale"":""DOWN"",""currentScore"":86.11,""lastScore"":100.0},{""goal"":8,""variationValue"":-7.1,""variationScale"":""DOWN"",""currentScore"":63.22,""lastScore"":67.71},{""goal"":9,""variationValue"":-32.63,""variationScale"":""DOWN"",""currentScore"":37.7,""lastScore"":50.0},{""goal"":10,""variationValue"":-11.78,""variationScale"":""DOWN"",""currentScore"":75.99,""lastScore"":84.94},{""goal"":11,""variationValue"":1.43,""variationScale"":""EQUAL"",""currentScore"":97.9,""lastScore"":96.5},{""goal"":12,""variationValue"":57.37,""variationScale"":""UP"",""currentScore"":70.94,""lastScore"":30.24},{""goal"":13,""variationValue"":17.62,""variationScale"":""UP"",""currentScore"":60.32,""lastScore"":49.69},{""goal"":14,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":94.74,""lastScore"":94.74},{""goal"":15,""variationValue"":73.57,""variationScale"":""UP"",""currentScore"":30.5,""lastScore"":8.06},{""goal"":16,""variationValue"":-33.33,""variationScale"":""DOWN"",""currentScore"":75.0,""lastScore"":100.0},{""goal"":17,""variationValue"":30.11,""variationScale"":""UP"",""currentScore"":43.08,""lastScore"":30.11}]",False
2026-08-26T22:38:28Z,buscarPanoramaOdsCidades,root,3548807,São Caetano do Sul (SP),São Paulo,165655,2025,2015,"[{""goal"":1,""variationValue"":-3.39,""variationScale"":""EQUAL"",""currentScore"":47.14,""lastScore"":48.74},{""goal"":2,""variationValue"":34.85,""variationScale"":""UP"",""currentScore"":48.5,""lastScore"":31.6},{""goal"":3,""variationValue"":-6.68,""variationScale"":""DOWN"",""currentScore"":69.61,""lastScore"":74.26},{""goal"":4,""variationValue"":3.2,""variationScale"":""EQUAL"",""currentScore"":65.72,""lastScore"":63.62},{""goal"":5,""variationValue"":47.64,""variationScale"":""UP"",""currentScore"":65.32,""lastScore"":34.2},{""goal"":6,""variationValue"":-1.67,""variationScale"":""EQUAL"",""currentScore"":92.97,""lastScore"":94.52},{""goal"":7,""variationValue"":-4.84,""variationScale"":""EQUAL"",""currentScore"":95.37,""lastScore"":99.99},{""goal"":8,""variationValue"":14.43,""variationScale"":""UP"",""currentScore"":72.78,""lastScore"":62.28},{""goal"":9,""variationValue"":-212.77,""variationScale"":""DOWN"",""currentScore"":18.32,""lastScore"":57.3},{""goal"":10,""variationValue"":-8.75,""variationScale"":""DOWN"",""currentScore"":58.17,""lastScore"":63.26},{""goal"":11,""variationValue"":-42.93,""variationScale"":""DOWN"",""currentScore"":61.12,""lastScore"":87.36},{""goal"":12,""variationValue"":2.93,""variationScale"":""EQUAL"",""currentScore"":67.81,""lastScore"":65.82},{""goal"":13,""variationValue"":-10.62,""variationScale"":""DOWN"",""currentScore"":86.66,""lastScore"":95.86},{""goal"":14,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":100.0,""lastScore"":100.0},{""goal"":15,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":40.0,""lastScore"":0.0},{""goal"":16,""variationValue"":34.38,""variationScale"":""UP"",""currentScore"":74.09,""lastScore"":48.62},{""goal"":17,""variationValue"":38.77,""variationScale"":""UP"",""currentScore"":52.77,""lastScore"":32.31}]",False
2026-08-26T22:38:28Z,buscarPanoramaOdsCidades,root,3513306,Cruzália (SP),São Paulo,2108,2025,2015,"[{""goal"":1,""variationValue"":-45.21,""variationScale"":""DOWN"",""currentScore"":36.52,""lastScore"":53.03},{""goal"":2,""variationValue"":-135.43,""variationScale"":""DOWN"",""currentScore"":37.74,""lastScore"":88.85},{""goal"":3,""variationValue"":18.33,""variationScale"":""UP"",""currentScore"":82.23,""lastScore"":67.16},{""goal"":4,""variationValue"":6.72,""variationScale"":""UP"",""currentScore"":70.58,""lastScore"":65.84},{""goal"":5,""variationValue"":31.99,""variationScale"":""UP"",""currentScore"":53.76,""lastScore"":36.56},{""goal"":6,""variationValue"":-1.92,""variationScale"":""EQUAL"",""currentScore"":85.09,""lastScore"":86.72},{""goal"":7,""variationValue"":-9.89,""variationScale"":""DOWN"",""currentScore"":90.42,""lastScore"":99.36},{""goal"":8,""variationValue"":0.94,""variationScale"":""EQUAL"",""currentScore"":56.34,""lastScore"":55.81},{""goal"":9,""variationValue"":-125.34,""variationScale"":""DOWN"",""currentScore"":18.27,""lastScore"":41.17},{""goal"":10,""variationValue"":20.1,""variationScale"":""UP"",""currentScore"":81.31,""lastScore"":64.97},{""goal"":11,""variationValue"":23.47,""variationScale"":""UP"",""currentScore"":96.94,""lastScore"":74.19},{""goal"":12,""variationValue"":-5.23,""variationScale"":""DOWN"",""currentScore"":71.85,""lastScore"":75.61},{""goal"":13,""variationValue"":-11.14,""variationScale"":""DOWN"",""currentScore"":70.11,""lastScore"":77.92},{""goal"":14,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":100.0,""lastScore"":100.0},{""goal"":15,""variationValue"":83.1,""variationScale"":""UP"",""currentScore"":26.68,""lastScore"":4.51},{""goal"":16,""variationValue"":-21.15,""variationScale"":""DOWN"",""currentScore"":82.54,""lastScore"":100.0},{""goal"":17,""variationValue"":88.69,""variationScale"":""UP"",""currentScore"":55.09,""lastScore"":6.23}]",False
2026-08-26T22:38:28Z,buscarPanoramaOdsCidades,root,3547205,Santana da Ponte Pensa (SP),São Paulo,1670,2025,2015,"[{""goal"":1,""variationValue"":10.88,""variationScale"":""UP"",""currentScore"":44.86,""lastScore"":39.98},{""goal"":2,""variationValue"":-23.03,""variationScale"":""DOWN"",""currentScore"":53.75,""lastScore"":66.13},{""goal"":3,""variationValue"":21.08,""variationScale"":""UP"",""currentScore"":89.41,""lastScore"":70.56},{""goal"":4,""variationValue"":30.19,""variationScale"":""UP"",""currentScore"":91.22,""lastScore"":63.68},{""goal"":5,""variationValue"":29.61,""variationScale"":""UP"",""currentScore"":66.32,""lastScore"":46.68},{""goal"":6,""variationValue"":9.5,""variationScale"":""UP"",""currentScore"":88.88,""lastScore"":80.44},{""goal"":7,""variationValue"":-16.13,""variationScale"":""DOWN"",""currentScore"":86.11,""lastScore"":100.0},{""goal"":8,""variationValue"":-21.06,""variationScale"":""DOWN"",""currentScore"":55.13,""lastScore"":66.74},{""goal"":9,""variationValue"":-124.01,""variationScale"":""DOWN"",""currentScore"":22.32,""lastScore"":50.0},{""goal"":10,""variationValue"":27.41,""variationScale"":""UP"",""currentScore"":75.77,""lastScore"":55.0},{""goal"":11,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":100.0,""lastScore"":100.0},{""goal"":12,""variationValue"":5.87,""variationScale"":""UP"",""currentScore"":73.27,""lastScore"":68.97},{""goal"":13,""variationValue"":13.85,""variationScale"":""UP"",""currentScore"":58.04,""lastScore"":50.0},{""goal"":14,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":95.46,""lastScore"":95.46},{""goal"":15,""variationValue"":72.75,""variationScale"":""UP"",""currentScore"":20.07,""lastScore"":5.47},{""goal"":16,""variationValue"":-33.33,""variationScale"":""DOWN"",""currentScore"":75.0,""lastScore"":100.0},{""goal"":17,""variationValue"":41.74,""variationScale"":""UP"",""currentScore"":19.19,""lastScore"":11.18}]",False
2026-08-26T22:38:28Z,buscarPanoramaOdsCidades,root,3500808,Alfredo Marcondes (SP),São Paulo,4445,2025,2015,"[{""goal"":1,""variationValue"":-27.55,""variationScale"":""DOWN"",""currentScore"":40.98,""lastScore"":52.27},{""goal"":2,""variationValue"":-22.65,""variationScale"":""DOWN"",""currentScore"":52.46,""lastScore"":64.34},{""goal"":3,""variationValue"":31.04,""variationScale"":""UP"",""currentScore"":88.75,""lastScore"":61.2},{""goal"":4,""variationValue"":13.36,""variationScale"":""UP"",""currentScore"":70.53,""lastScore"":61.11},{""goal"":5,""variationValue"":25.01,""variationScale"":""UP"",""currentScore"":63.01,""lastScore"":47.25},{""goal"":6,""variationValue"":-0.28,""variationScale"":""EQUAL"",""currentScore"":88.35,""lastScore"":88.6},{""goal"":7,""variationValue"":-22.38,""variationScale"":""DOWN"",""currentScore"":81.11,""lastScore"":99.26},{""goal"":8,""variationValue"":-14.28,""variationScale"":""DOWN"",""currentScore"":44.11,""lastScore"":50.41},{""goal"":9,""variationValue"":-29.68,""variationScale"":""DOWN"",""currentScore"":50.0,""lastScore"":64.84},{""goal"":10,""variationValue"":27.45,""variationScale"":""UP"",""currentScore"":83.73,""lastScore"":60.75},{""goal"":11,""variationValue"":2.36,""variationScale"":""EQUAL"",""currentScore"":96.57,""lastScore"":94.29},{""goal"":12,""variationValue"":-14.57,""variationScale"":""DOWN"",""currentScore"":61.58,""lastScore"":70.55},{""goal"":13,""variationValue"":-8.14,""variationScale"":""DOWN"",""currentScore"":67.8,""lastScore"":73.32},{""goal"":14,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":100.0,""lastScore"":100.0},{""goal"":15,""variationValue"":90.6,""variationScale"":""UP"",""currentScore"":20.0,""lastScore"":1.88},{""goal"":16,""variationValue"":-24.75,""variationScale"":""DOWN"",""currentScore"":80.16,""lastScore"":100.0},{""goal"":17,""variationValue"":73.55,""variationScale"":""UP"",""currentScore"":22.42,""lastScore"":5.93}]",False
2026-08-26T22:38:28Z,buscarPanoramaOdsCidades,root,3537156,Pedrinhas Paulista (SP),São Paulo,2804,2025,2015,"[{""goal"":1,""variationValue"":-22.21,""variationScale"":""DOWN"",""currentScore"":40.02,""lastScore"":48.91},{""goal"":2,""variationValue"":41.31,""variationScale"":""UP"",""currentScore"":38.76,""lastScore"":22.75},{""goal"":3,""variationValue"":-16.6,""variationScale"":""DOWN"",""currentScore"":68.98,""lastScore"":80.43},{""goal"":4,""variationValue"":15.08,""variationScale"":""UP"",""currentScore"":72.02,""lastScore"":61.16},{""goal"":5,""variationValue"":30.05,""variationScale"":""UP"",""currentScore"":53.98,""lastScore"":37.76},{""goal"":6,""variationValue"":4.18,""variationScale"":""EQUAL"",""currentScore"":92.84,""lastScore"":88.96},{""goal"":7,""variationValue"":-11.35,""variationScale"":""DOWN"",""currentScore"":89.81,""lastScore"":100.0},{""goal"":8,""variationValue"":-2.97,""variationScale"":""EQUAL"",""currentScore"":64.27,""lastScore"":66.18},{""goal"":9,""variationValue"":-549.94,""variationScale"":""DOWN"",""currentScore"":7.83,""lastScore"":50.89},{""goal"":10,""variationValue"":17.96,""variationScale"":""UP"",""currentScore"":83.96,""lastScore"":68.88},{""goal"":11,""variationValue"":1.43,""variationScale"":""EQUAL"",""currentScore"":97.89,""lastScore"":96.49},{""goal"":12,""variationValue"":3.03,""variationScale"":""EQUAL"",""currentScore"":74.61,""lastScore"":72.35},{""goal"":13,""variationValue"":-13.0,""variationScale"":""DOWN"",""currentScore"":71.78,""lastScore"":81.11},{""goal"":14,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":97.62,""lastScore"":97.62},{""goal"":15,""variationValue"":90.16,""variationScale"":""UP"",""currentScore"":33.33,""lastScore"":3.28},{""goal"":16,""variationValue"":-33.33,""variationScale"":""DOWN"",""currentScore"":75.0,""lastScore"":100.0},{""goal"":17,""variationValue"":67.43,""variationScale"":""UP"",""currentScore"":37.61,""lastScore"":12.25}]",False
2026-08-26T22:38:28Z,buscarPanoramaOdsCidades,root,3170701,Varginha (MG),Minas Gerais,136467,2025,2015,"[{""goal"":1,""variationValue"":11.44,""variationScale"":""UP"",""currentScore"":59.51,""lastScore"":52.7},{""goal"":2,""variationValue"":-18.47,""variationScale"":""DOWN"",""currentScore"":39.1,""lastScore"":46.32},{""goal"":3,""variationValue"":-4.75,""variationScale"":""EQUAL"",""currentScore"":69.25,""lastScore"":72.54},{""goal"":4,""variationValue"":6.27,""variationScale"":""UP"",""currentScore"":61.29,""lastScore"":57.45},{""goal"":5,""variationValue"":59.97,""variationScale"":""UP"",""currentScore"":57.63,""lastScore"":23.07},{""goal"":6,""variationValue"":-5.59,""variationScale"":""DOWN"",""currentScore"":80.86,""lastScore"":85.38},{""goal"":7,""variationValue"":-0.78,""variationScale"":""EQUAL"",""currentScore"":98.91,""lastScore"":99.68},{""goal"":8,""variationValue"":-1.05,""variationScale"":""EQUAL"",""currentScore"":57.23,""lastScore"":57.83},{""goal"":9,""variationValue"":-97.61,""variationScale"":""DOWN"",""currentScore"":20.49,""lastScore"":40.49},{""goal"":10,""variationValue"":-17.5,""variationScale"":""DOWN"",""currentScore"":54.68,""lastScore"":64.25},{""goal"":11,""variationValue"":-20.08,""variationScale"":""DOWN"",""currentScore"":75.88,""lastScore"":91.12},{""goal"":12,""variationValue"":52.76,""variationScale"":""UP"",""currentScore"":70.56,""lastScore"":33.33},{""goal"":13,""variationValue"":-14.61,""variationScale"":""DOWN"",""currentScore"":81.64,""lastScore"":93.57},{""goal"":14,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":97.68,""lastScore"":97.68},{""goal"":15,""variationValue"":99.63,""variationScale"":""UP"",""currentScore"":26.67,""lastScore"":0.1},{""goal"":16,""variationValue"":48.01,""variationScale"":""UP"",""currentScore"":78.01,""lastScore"":40.56},{""goal"":17,""variationValue"":72.13,""variationScale"":""UP"",""currentScore"":69.42,""lastScore"":19.35}]",False
2026-08-26T22:38:28Z,buscarPanoramaOdsCidades,root,3514205,Dolcinópolis (SP),São Paulo,2207,2025,2015,"[{""goal"":1,""variationValue"":-4.98,""variationScale"":""EQUAL"",""currentScore"":48.79,""lastScore"":51.22},{""goal"":2,""variationValue"":-46.79,""variationScale"":""DOWN"",""currentScore"":45.42,""lastScore"":66.67},{""goal"":3,""variationValue"":13.99,""variationScale"":""UP"",""currentScore"":81.13,""lastScore"":69.78},{""goal"":4,""variationValue"":6.35,""variationScale"":""UP"",""currentScore"":71.33,""lastScore"":66.8},{""goal"":5,""variationValue"":24.74,""variationScale"":""UP"",""currentScore"":70.17,""lastScore"":52.81},{""goal"":6,""variationValue"":-2.2,""variationScale"":""EQUAL"",""currentScore"":89.59,""lastScore"":91.56},{""goal"":7,""variationValue"":-20.0,""variationScale"":""DOWN"",""currentScore"":83.33,""lastScore"":100.0},{""goal"":8,""variationValue"":-20.23,""variationScale"":""DOWN"",""currentScore"":54.72,""lastScore"":65.79},{""goal"":9,""variationValue"":-433.05,""variationScale"":""DOWN"",""currentScore"":9.38,""lastScore"":50.0},{""goal"":10,""variationValue"":6.3,""variationScale"":""UP"",""currentScore"":59.16,""lastScore"":55.43},{""goal"":11,""variationValue"":-11.2,""variationScale"":""DOWN"",""currentScore"":82.8,""lastScore"":92.07},{""goal"":12,""variationValue"":66.67,""variationScale"":""UP"",""currentScore"":100.0,""lastScore"":33.33},{""goal"":13,""variationValue"":-5.54,""variationScale"":""DOWN"",""currentScore"":69.45,""lastScore"":73.3},{""goal"":14,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":94.12,""lastScore"":94.12},{""goal"":15,""variationValue"":88.1,""variationScale"":""UP"",""currentScore"":20.0,""lastScore"":2.38},{""goal"":16,""variationValue"":-25.38,""variationScale"":""DOWN"",""currentScore"":79.76,""lastScore"":100.0},{""goal"":17,""variationValue"":64.3,""variationScale"":""UP"",""currentScore"":37.98,""lastScore"":13.56}]",False
2026-08-26T22:38:28Z,buscarPanoramaOdsCidades,root,3517109,Glicério (SP),São Paulo,4138,2025,2015,"[{""goal"":1,""variationValue"":-32.58,""variationScale"":""DOWN"",""currentScore"":46.56,""lastScore"":61.73},{""goal"":2,""variationValue"":67.08,""variationScale"":""UP"",""currentScore"":54.07,""lastScore"":17.8},{""goal"":3,""variationValue"":-2.26,""variationScale"":""EQUAL"",""currentScore"":76.5,""lastScore"":78.23},{""goal"":4,""variationValue"":8.94,""variationScale"":""UP"",""currentScore"":68.93,""lastScore"":62.77},{""goal"":5,""variationValue"":63.94,""variationScale"":""UP"",""currentScore"":57.55,""lastScore"":20.75},{""goal"":6,""variationValue"":2.42,""variationScale"":""EQUAL"",""currentScore"":82.09,""lastScore"":80.1},{""goal"":7,""variationValue"":-16.13,""variationScale"":""DOWN"",""currentScore"":86.11,""lastScore"":100.0},{""goal"":8,""variationValue"":-23.7,""variationScale"":""DOWN"",""currentScore"":52.69,""lastScore"":65.18},{""goal"":9,""variationValue"":-546.41,""variationScale"":""DOWN"",""currentScore"":6.96,""lastScore"":44.99},{""goal"":10,""variationValue"":21.21,""variationScale"":""UP"",""currentScore"":70.26,""lastScore"":55.36},{""goal"":11,""variationValue"":9.59,""variationScale"":""UP"",""currentScore"":100.0,""lastScore"":90.41},{""goal"":12,""variationValue"":66.67,""variationScale"":""UP"",""currentScore"":100.0,""lastScore"":33.33},{""goal"":13,""variationValue"":-8.02,""variationScale"":""DOWN"",""currentScore"":66.07,""lastScore"":71.37},{""goal"":14,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":92.11,""lastScore"":92.11},{""goal"":15,""variationValue"":81.04,""variationScale"":""UP"",""currentScore"":20.04,""lastScore"":3.8},{""goal"":16,""variationValue"":-24.75,""variationScale"":""DOWN"",""currentScore"":80.16,""lastScore"":100.0},{""goal"":17,""variationValue"":69.91,""variationScale"":""UP"",""currentScore"":31.9,""lastScore"":9.6}]",False
2026-08-26T22:38:28Z,buscarPanoramaOdsCidades,root,3507209,Borá (SP),São Paulo,907,2025,2015,"[{""goal"":1,""variationValue"":-38.59,""variationScale"":""DOWN"",""currentScore"":40.11,""lastScore"":55.59},{""goal"":2,""variationValue"":-168.24,""variationScale"":""DOWN"",""currentScore"":37.28,""lastScore"":100.0},{""goal"":3,""variationValue"":4.53,""variationScale"":""EQUAL"",""currentScore"":81.89,""lastScore"":78.18},{""goal"":4,""variationValue"":-11.9,""variationScale"":""DOWN"",""currentScore"":67.57,""lastScore"":75.61},{""goal"":5,""variationValue"":19.02,""variationScale"":""UP"",""currentScore"":58.69,""lastScore"":47.53},{""goal"":6,""variationValue"":-7.57,""variationScale"":""DOWN"",""currentScore"":87.13,""lastScore"":93.73},{""goal"":7,""variationValue"":-10.2,""variationScale"":""DOWN"",""currentScore"":90.74,""lastScore"":100.0},{""goal"":8,""variationValue"":15.9,""variationScale"":""UP"",""currentScore"":84.07,""lastScore"":70.7},{""goal"":9,""variationValue"":-129.82,""variationScale"":""DOWN"",""currentScore"":5.6,""lastScore"":12.87},{""goal"":10,""variationValue"":0.27,""variationScale"":""EQUAL"",""currentScore"":70.15,""lastScore"":69.96},{""goal"":11,""variationValue"":2.22,""variationScale"":""EQUAL"",""currentScore"":88.87,""lastScore"":86.9},{""goal"":12,""variationValue"":53.39,""variationScale"":""UP"",""currentScore"":71.51,""lastScore"":33.33},{""goal"":13,""variationValue"":17.64,""variationScale"":""UP"",""currentScore"":60.71,""lastScore"":50.0},{""goal"":14,""variationValue"":0.0,""variationScale"":""EQUAL"",""currentScore"":100.0,""lastScore"":100.0},{""goal"":15,""variationValue"":52.75,""variationScale"":""UP"",""currentScore"":20.34,""lastScore"":9.61},{""goal"":16,""variationValue"":-36.95,""variationScale"":""DOWN"",""currentScore"":73.02,""lastScore"":100.0},{""goal"":17,""variationValue"":81.17,""variationScale"":""UP"",""currentScore"":51.62,""lastScore"":9.72}]",False
